"title","genres","year","rating"
"Chadwick Boseman: Portrait of an Artist","Biography, Documentary",2021,6.5
"Ajeeb Daastaans","Drama, Romance",2021,6.9
"Arlo the Alligator Boy","Animation, Family",2021,8.1
"Into the Beat (Dein Herz tanzt)","Drama, Romance",2020,5.2
"Why Are You Like This","Comedy",2018,6.3
"Dad Stop Embarrassing Me – The Afterparty","Comedy",2021,0
"Ride or Die","Drama, Romance",2021,5.7
"Why Did You Kill Me?","Crime, Documentary",2021,5.9
"The Soul (Ji hun)","Crime, Thriller",2021,6.9
"Dad Stop Embarrassing Me!","Comedy, Family",2021,4.1
"Love and Monsters","Action, Comedy, Family",2021,7
"My Love: Six Stories of True Love","Documentary",2021,8.5
"New Gods: Nezha Reborn (Xin Shen Bang: Ne Zha Chongsheng)","Action, Animation, Fantasy",2021,6.9
"Gantz:O","Anime",2016,7.3
"Hello, Me! (Annyeong? Naya!)","Comedy, Romance",2021,4.3
"Sisyphus (Sijipeuseu: The Myth)","Adventure, Sci-Fi",2021,8.8
"Have You Ever Seen Fireflies? (Sen Hi<U+00E7> Atesböcegi Gördün mü?)","Drama",2021,6.3
"Thunder Force","Action, Comedy, Fantasy",2021,4.4
"Two Distant Strangers","Drama",2021,6.9
"Night in Paradise","Crime, Drama",2021,6.6
"The Way of the Househusband (Gokushufudo)","Anime, Comedy",2021,7.3
"Snabba Cash","Crime, Drama",2021,7.1
"This Is a Robbery: The World’s Biggest Art Heist","Crime, Documentary",2021,6.7
"The Wedding Coach","Reality TV, Romance",2021,3.7
"Dolly Parton: A MusiCares Tribute","Documentary, Music",2021,7.7
"The Last Kids on Earth: Happy Apocalypse to You","Animation, Family",2021,0
"Coded Bias","Documentary",2020,6.7
"Concrete Cowboy","Drama",2021,5.7
"Madame Claude","Drama",2021,5.5
"Just Say Yes","Comedy, Romance",2021,3.9
"Sky High (Hasta el cielo)","Action, Crime",2021,5.8
"The Serpent","Crime, Thriller",2021,7.7
"Tersanjung the Movie","Drama, Romance",2021,6.9
"Worn Stories","Documentary",2021,7
"Haunted: Latin America","Horror, Reality TV",2021,6.6
"Not a Game","Documentary, Sport",2020,5.9
"Octonauts & the Ring of Fire","Family",2021,7.2
"The Irregulars","Crime, Drama, Fantasy",2021,5.2
"Magic for Humans Spain","Reality TV",2021,5.6
"A Week Away","Family, Romance",2021,5.5
"Pagglait","Comedy",2021,7.1
"Bad Trip","Comedy",2021,6.6
"DOTA: Dragon’s Blood","Action, Anime",2021,8.4
"Secret Magic Control Agency","Family",2021,6.2
"Caught by a Wave (Sulla Stessa Onda)","Drama, Romance, Sport",2021,5.4
"Who Killed Sara? (<U+00BF>Quién Mató a Sara?)","Crime, Drama",2021,6.7
"Seaspiracy","Documentary",2021,8.6
"Loyiso Gola: Unlearning","Comedy, Stand-Up Comedy",2021,5.9
"Country Comfort","Comedy, Family, Music",2021,6
"Sky Rojo","Action, Drama",2021,6.6
"One Small Problem (Sin hijos)","Comedy, Romance",2021,5.4
"The Yin Yang Master","Action, Fantasy",2021,6.1
"Get the Goat (Cabras da Peste)","Action, Comedy, Crime",2021,6.1
"Nate Bargatze: The Greatest Average American","Comedy, Stand-Up Comedy",2021,7.4
"Under Suspicion: Uncovering the Wesphael Case","Crime, Documentary",2021,6.4
"Simply Black (Carrément Craignos)","Comedy",2021,0
"Deadly Illusions","Thriller",2021,3.8
"Operation Varsity Blues: The College Admissions Scandal","Crime, Documentary",2021,7.1
"Waffles + Mochi","Family",2021,6.2
"RebellComedy: Straight Outta the Zoo (RebellComedy: Raus Aus’m Zoo)","Comedy, Stand-Up Comedy",2021,0
"Love (ft. Marriage and Divorce)","Drama",2021,6.8
"You’re Everything To Me","Comedy, Drama",2016,6.3
"Abla Fahita: Drama Queen","Comedy",2021,7.7
"Romantik Komedi","Comedy, Romance",2010,5.4
"Mucize","Drama",2015,7.4
"Romantik Komedi 2: Bekarliga Veda","Comedy",2013,5.2
"Carsi Pazar","Comedy",2015,5.3
"The Lost Pirate Kingdom","Documentary",2021,6.7
"Zero Chill","Family, Sport",2021,5.5
"YES DAY","Comedy, Family",2021,5.7
"Paper Lives (Kagittan Hayatlar)","Drama",2021,6.6
"The One","Crime, Drama, Sci-Fi",2021,6.5
"Coven of Sisters (Akelarre)","Drama",2021,6.3
"Marriage or Mortgage","Reality TV, Romance",2021,4
"The Block Island Sound","Horror",2020,5.2
"Last Chance U: Basketball","Documentary, Sport",2021,8.5
"Dealer (Ca<U+00EF>d)","Action, Crime, Drama",2021,6
"The Houseboat","Documentary",2021,7.7
"Bombay Begums","Drama",2021,4.5
"Bombay Rose","Animation, Drama, Romance",2021,6
"Nevenka: Breaking the Silence","Biography, Documentary",2021,7.1
"City of Ghosts","Animation, Family",2021,6.6
"Sentinelle","Action, Thriller",2021,4.9
"Pacific Rim: The Black","Action, Anime",2021,7.2
"Murder Among the Mormons","Crime, Documentary",2021,7.1
"Moxie","Comedy",2021,6.7
"A Love So Beautiful (Zhi Wo Men Dan Chun De Xiao Mei Hao)","Comedy, Romance",2020,8.1
"Biggie: I Got a Story to Tell","Documentary, Music",2021,7
"Ginny & Georgia – The Afterparty","Talk-Show",2021,0
"The Girl on the Train","Crime, Drama",2021,3.8
"Crazy About Her (Loco por ella)","Comedy, Romance",2021,6.5
"High-Rise Invasion","Action, Anime, Thriller",2021,7
"Geez & Ann","Drama, Romance",2021,6
"Ginny & Georgia","Comedy, Romance",2021,6.8
"Age of Samurai: Battle for Japan","Documentary, War",2021,7.6
"Canine Intervention","Reality TV",2021,6.1
"Brian Regan: On the Rocks","Comedy, Stand-Up Comedy",2021,7
"Pelé","Biography, Documentary, Sport",2021,7.2
"Lovestruck in the City (Doshinamnyeoui Sarangbeob)","Drama, Romance",2020,9.2
"Classmates Minus","Comedy, Drama",2020,7.4
