"title","genre","rating"
"Shadow and Bone","Action, Adventure, Drama",7.9
"The Mitchells vs the Machines","Animation, Adventure, Comedy",7.9
"Jupiter's Legacy","Action, Adventure, Drama",6.9
"Things Heard & Seen","Drama, Horror, Mystery",5.3
"Line of Duty","Crime, Drama, Mystery",8.7
"El inocente","Crime, Drama, Mystery",8
"Grey's Anatomy","Drama, Romance",7.6
"The Walking Dead","Drama, Horror, Thriller",8.2
"Stowaway","Drama, Sci-Fi, Thriller",5.6
"The Blacklist","Crime, Drama, Mystery",8
"Stranger Things","Drama, Fantasy, Horror",8.7
"Peaky Blinders","Crime, Drama",8.8
"Lucifer","Crime, Drama, Fantasy",8.1
"Breaking Bad","Crime, Drama, Thriller",9.5
"The Crown","Biography, Drama, History",8.7
"The Serpent","Crime, Drama, Thriller",7.7
"Vikings","Action, Adventure, Drama",8.5
"Outlander","Drama, Fantasy, Romance",8.4
"Sexify","Comedy, Drama",6.6
"Shingeki no kyojin","Animation, Action, Adventure",8.9
"Schitt's Creek","Comedy",8.5
"Love and Monsters","Action, Adventure, Comedy",7
"NCIS: Naval Criminal Investigative Service","Action, Crime, Drama",7.7
"The Flash","Action, Adventure, Drama",7.7
"Dexter","Crime, Drama, Mystery",8.6
"Friends","Comedy, Romance",8.9
"Modern Family","Comedy, Drama, Romance",8.4
"Supernatural","Drama, Fantasy, Horror",8.4
"La casa de papel","Action, Crime, Mystery",8.3
"Better Call Saul","Crime, Drama",8.7
"New Amsterdam","Drama",8.1
"Brooklyn Nine-Nine","Comedy, Crime",8.4
"Pose","Drama",8.6
"Fargo","Crime, Drama, Thriller",8.9
"The Last Kingdom","Action, Drama, History",8.4
"The 100","Drama, Mystery, Sci-Fi",7.6
"American Horror Story","Drama, Horror, Thriller",8
"Black Mirror","Drama, Sci-Fi, Thriller",8.8
"Yasuke","Animation, Action, Adventure",6.3
"The Witcher","Action, Adventure, Fantasy",8.2
"Star Wars: The Clone Wars","Animation, Action, Adventure",8.3
"Ozark","Crime, Drama, Thriller",8.4
"Sons of Anarchy","Crime, Drama, Thriller",8.5
"The Vampire Diaries","Drama, Fantasy, Horror",7.7
"How I Met Your Mother","Comedy, Romance",8.3
"RH Project","Documentary, Crime, History",7.2
"Bridgerton","Drama, Romance",7.2
"Legends of Tomorrow","Action, Adventure, Drama",6.8
"Suits","Comedy, Drama",8.5
"Love, Death and Robots","Animation, Short, Comedy",8.5
"The Queen’s Gambit","Drama",8.6
"Supergirl","Action, Adventure, Drama",6.2
"Good Girls","Comedy, Crime, Drama",7.8
"Community","Comedy",8.5
"Ginny & Georgia","Comedy, Drama",7.4
"365 dni","Drama, Romance",3.2
"Homeland","Crime, Drama, Mystery",8.3
"The Expanse","Drama, Mystery, Sci-Fi",8.5
"Selena: The Series","Biography, Drama, Music",6.7
"Rick and Morty","Animation, Adventure, Comedy",9.2
"Blue Bloods","Crime, Drama, Mystery",7.6
"Demon Slayer: Kimetsu No Yaiba","Animation, Action, Fantasy",8.7
"New Girl","Comedy",7.7
"Cobra Kai","Action, Comedy, Drama",8.6
"Dark","Crime, Drama, Mystery",8.8
"Agents of S.H.I.E.L.D.","Action, Adventure, Drama",7.5
"Thunder Force","Action, Adventure, Comedy",4.4
"Gilmore Girls","Comedy, Drama",8.1
"The Trial of the Chicago 7","Drama, History, Thriller",7.8
